                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47015,                0.28809,                0.83368,                 0.5244,                0.47588,                0.52164,                0.42723,                 1.1151,                 1.8862,                   1.35,                 0.0829,                 0.0019,                 0.0019
                      2,                0.44692,                 0.2812,                 0.8289,                 0.9967,                0.99041,                0.99477,                0.93382,                0.43055,                0.25586,                0.80932,               0.064861,              0.0038614,              0.0038614
                      3,                0.43929,                0.27742,                0.82528,                  0.961,                0.96619,                0.96685,                 0.8697,                  0.518,                0.35318,                 0.8554,               0.046783,              0.0057832,              0.0057832
                      4,                0.44976,                0.28425,                0.82611,                 0.9829,                0.98082,                0.99285,                0.91478,                0.45692,                 0.2922,                0.82273,               0.028665,              0.0076654,              0.0076654
                      5,                0.44947,                0.28847,                0.82769,                0.99259,                0.98787,                0.99467,                   0.92,                0.46029,                0.28817,                0.82296,               0.010508,               0.009508,               0.009508
                      6,                0.44838,                0.28851,                0.83102,                0.99178,                0.98698,                0.99394,                0.92103,                0.45514,                0.28777,                0.82239,               0.009505,               0.009505,               0.009505
                      7,                 0.4428,                0.28549,                0.82852,                0.99788,                0.99661,                0.99494,                0.94187,                0.39413,                0.25722,                0.80415,               0.009406,               0.009406,               0.009406
                      8,                0.43821,                0.28373,                0.82415,                0.99803,                0.99803,                  0.995,                0.93608,                0.41599,                0.25189,                0.80664,               0.009307,               0.009307,               0.009307
                      9,                0.44649,                0.28519,                0.82293,                0.99831,                0.99717,                  0.995,                0.94352,                0.39246,                 0.2472,                 0.8031,               0.009208,               0.009208,               0.009208
                     10,                0.44529,                 0.2803,                0.82759,                0.99661,                0.99605,                0.99499,                0.93792,                0.40766,                0.25536,                 0.8043,               0.009109,               0.009109,               0.009109
                     11,                0.43364,                0.27365,                0.82029,                0.99859,                0.99732,                  0.995,                0.94475,                0.38904,                0.24394,                0.79861,                0.00901,                0.00901,                0.00901
                     12,                0.42548,                0.27011,                0.81893,                0.99934,                0.99803,                  0.995,                0.94919,                0.37347,                0.23112,                0.79575,               0.008911,               0.008911,               0.008911
                     13,                0.42584,                0.26883,                0.82381,                0.99718,                0.99585,                0.99469,                0.94605,                0.39528,                0.24326,                0.80238,               0.008812,               0.008812,               0.008812
                     14,                0.41787,                0.26734,                0.82014,                0.99915,                0.99831,                  0.995,                0.94141,                0.40778,                0.24204,                0.80224,               0.008713,               0.008713,               0.008713
                     15,                 0.4126,                0.26112,                0.81978,                0.99972,                0.99859,                  0.995,                0.94766,                0.37504,                0.22908,                0.79908,               0.008614,               0.008614,               0.008614
                     16,                0.40973,                0.25891,                0.81808,                0.99972,                0.99935,                  0.995,                0.94819,                0.38621,                 0.2289,                0.79896,               0.008515,               0.008515,               0.008515
                     17,                 0.3994,                0.25446,                0.81752,                0.99995,                0.99859,                  0.995,                 0.9539,                0.36415,                0.22178,                 0.7955,               0.008416,               0.008416,               0.008416
                     18,                0.40629,                0.25462,                0.81732,                0.99972,                0.99859,                  0.995,                0.95314,                0.36524,                0.22135,                0.79401,               0.008317,               0.008317,               0.008317
                     19,                0.39496,                0.25029,                0.81582,                0.99963,                0.99831,                0.99499,                 0.9533,                0.36555,                0.22383,                0.79366,               0.008218,               0.008218,               0.008218
                     20,                0.40086,                0.25099,                0.81504,                0.99944,                0.99831,                  0.995,                0.95308,                0.36686,                0.21933,                0.79432,               0.008119,               0.008119,               0.008119
                     21,                0.41029,                0.25504,                0.81962,                0.99972,                0.99831,                  0.995,                0.95254,                0.35821,                0.21986,                0.79395,                0.00802,                0.00802,                0.00802
                     22,                0.39544,                0.24756,                0.81584,                0.99887,                0.99944,                  0.995,                0.96024,                0.34208,                0.21093,                0.79139,               0.007921,               0.007921,               0.007921
                     23,                0.38697,                0.24232,                0.81193,                0.99915,                0.99852,                  0.995,                 0.9595,                0.34401,                0.21211,                0.79034,               0.007822,               0.007822,               0.007822
                     24,                0.38456,                 0.2403,                0.80987,                0.99922,                0.99803,                  0.995,                0.95686,                0.35199,                0.21242,                0.78986,               0.007723,               0.007723,               0.007723
                     25,                0.38104,                 0.2377,                0.81253,                0.99948,                0.99859,                  0.995,                0.96188,                0.34094,                0.20678,                0.78845,               0.007624,               0.007624,               0.007624
                     26,                0.38212,                0.23718,                0.81285,                0.94477,                0.93123,                0.95981,                0.89692,                0.43964,                0.34819,                0.83999,               0.007525,               0.007525,               0.007525
                     27,                0.37803,                 0.2381,                0.81441,                0.99915,                0.99887,                  0.995,                0.95878,                0.35328,                0.20639,                0.79051,               0.007426,               0.007426,               0.007426
                     28,                0.38587,                0.23855,                0.81268,                0.99915,                0.99896,                  0.995,                 0.9586,                0.35017,                0.20368,                0.79175,               0.007327,               0.007327,               0.007327
                     29,                 0.3719,                0.23521,                0.81212,                      1,                0.99379,                  0.995,                0.95685,                0.35725,                0.21466,                 0.7931,               0.007228,               0.007228,               0.007228
                     30,                 0.3699,                0.23136,                0.80893,                0.99972,                0.99944,                  0.995,                0.96171,                0.33521,                0.20128,                0.78905,               0.007129,               0.007129,               0.007129
                     31,                0.37746,                 0.2355,                0.81086,                0.99887,                0.99908,                  0.995,                0.95604,                0.35109,                0.20609,                0.79279,                0.00703,                0.00703,                0.00703
                     32,                0.36256,                0.23031,                0.81059,                0.99944,                0.99803,                  0.995,                0.95697,                0.35478,                0.20625,                  0.794,               0.006931,               0.006931,               0.006931
                     33,                0.37152,                0.23357,                0.81041,                0.99944,                0.99803,                  0.995,                0.95464,                0.36396,                0.21225,                 0.7956,               0.006832,               0.006832,               0.006832
                     34,                0.37175,                0.23308,                0.81364,                0.99927,                0.99831,                  0.995,                0.96263,                 0.3317,                0.20024,                0.78867,               0.006733,               0.006733,               0.006733
                     35,                0.36303,                0.22964,                 0.8093,                0.99972,                 0.9983,                  0.995,                0.95478,                0.35501,                0.20978,                0.79127,               0.006634,               0.006634,               0.006634
                     36,                0.37369,                0.23047,                0.80895,                0.99941,                0.99718,                  0.995,                  0.955,                0.35668,                0.20937,                0.79091,               0.006535,               0.006535,               0.006535
                     37,                0.37965,                0.23581,                0.81228,                0.99974,                0.99746,                  0.995,                0.96037,                0.34573,                0.20288,                 0.7889,               0.006436,               0.006436,               0.006436
                     38,                0.36611,                0.23024,                0.80869,                0.99935,                0.99887,                  0.995,                0.96234,                0.33629,                0.19941,                0.78641,               0.006337,               0.006337,               0.006337
                     39,                0.36313,                0.22833,                0.80747,                 0.9994,                0.99887,                  0.995,                0.95535,                0.35972,                0.20553,                 0.7901,               0.006238,               0.006238,               0.006238
                     40,                0.36303,                0.22532,                0.80804,                0.99972,                0.99772,                  0.995,                0.95689,                0.35134,                0.20304,                0.78832,               0.006139,               0.006139,               0.006139
                     41,                0.36176,                0.22726,                0.80811,                0.99915,                0.99783,                  0.995,                0.96095,                0.33522,                0.20065,                0.78771,                0.00604,                0.00604,                0.00604
                     42,                0.36277,                0.22673,                 0.8094,                0.99902,                0.99944,                  0.995,                0.96313,                0.32948,                 0.2005,                0.78745,               0.005941,               0.005941,               0.005941
                     43,                0.36399,                  0.226,                0.80805,                0.99859,                0.99771,                0.99486,                 0.9635,                0.33029,                0.19583,                0.78674,               0.005842,               0.005842,               0.005842
                     44,                0.36457,                0.22289,                0.80828,                0.99995,                0.99915,                  0.995,                0.96584,                0.31398,                0.18902,                0.78395,               0.005743,               0.005743,               0.005743
                     45,                0.36113,                 0.2228,                0.80672,                0.99944,                0.99885,                  0.995,                0.96048,                0.33904,                0.19983,                0.79212,               0.005644,               0.005644,               0.005644
                     46,                0.36025,                0.22285,                0.81144,                0.99915,                0.99859,                  0.995,                0.96295,                0.33183,                 0.1944,                0.78959,               0.005545,               0.005545,               0.005545
                     47,                0.36044,                0.22252,                0.80577,                0.99972,                0.99803,                  0.995,                 0.9633,                0.32363,                0.19224,                0.78658,               0.005446,               0.005446,               0.005446
                     48,                0.34863,                0.21574,                 0.8073,                0.99915,                0.99803,                  0.995,                0.96615,                0.31923,                0.18942,                0.78404,               0.005347,               0.005347,               0.005347
                     49,                0.34723,                0.21701,                0.80403,                0.99915,                  0.999,                  0.995,                0.96788,                0.30943,                0.18437,                0.78182,               0.005248,               0.005248,               0.005248
                     50,                0.34627,                0.21561,                0.80457,                0.99915,                0.99803,                  0.995,                0.96398,                0.33232,                0.19305,                0.78682,               0.005149,               0.005149,               0.005149
                     51,                0.34559,                0.21599,                0.80594,                0.99943,                0.99492,                  0.995,                0.96288,                0.32583,                0.19434,                0.78536,                0.00505,                0.00505,                0.00505
                     52,                0.34566,                0.21655,                0.80437,                0.99944,                0.99915,                  0.995,                0.96525,                0.31627,                0.18409,                0.78447,               0.004951,               0.004951,               0.004951
                     53,                0.34216,                 0.2096,                0.80356,                0.99989,                0.99887,                  0.995,                0.96482,                0.31348,                 0.1842,                0.78306,               0.004852,               0.004852,               0.004852
                     54,                0.33767,                0.20894,                0.80348,                0.99972,                0.99683,                0.99499,                0.96907,                 0.2961,                0.17797,                0.78075,               0.004753,               0.004753,               0.004753
                     55,                 0.3375,                 0.2081,                0.80516,                0.99887,                  0.997,                  0.995,                0.96757,                0.30785,                0.18222,                0.78219,               0.004654,               0.004654,               0.004654
                     56,                0.34368,                0.21339,                0.80438,                0.99972,                0.99936,                  0.995,                0.96925,                0.30292,                0.17958,                0.78117,               0.004555,               0.004555,               0.004555
                     57,                0.33874,                0.21114,                0.80369,                0.99972,                0.99972,                  0.995,                0.96731,                0.31067,                0.18222,                0.78293,               0.004456,               0.004456,               0.004456
                     58,                0.33985,                0.21173,                 0.8027,                0.99952,                0.99831,                  0.995,                0.96418,                0.31801,                0.18523,                0.78411,               0.004357,               0.004357,               0.004357
                     59,                0.34097,                0.21225,                0.80315,                0.99846,                0.99859,                  0.995,                0.96484,                0.31344,                0.18615,                 0.7825,               0.004258,               0.004258,               0.004258
                     60,                 0.3426,                0.21374,                0.80443,                0.99896,                0.99831,                  0.995,                0.96636,                 0.3123,                0.18198,                0.78189,               0.004159,               0.004159,               0.004159
                     61,                0.32993,                0.20815,                0.80213,                      1,                0.99874,                  0.995,                0.96653,                0.31117,                0.18046,                0.78278,                0.00406,                0.00406,                0.00406
